lake_id	datetime	secchi_meter
wbic_2448800	1964-05-15	4.92
wbic_2382300	1964-05-15	2.97
wbic_2393500	1967-05-15	2.62
wbic_2393500	1980-05-15	2.62
wbic_2393500	1994-05-15	2.62
wbic_2393500	1999-05-15	2.62
wbic_2113300	1999-05-15	1.57
wbic_2399700	1964-05-15	5.91
wbic_2396800	1964-05-15	0.98
wbic_2391200	1998-05-15	6
wbic_2381800	1964-05-15	2.3
wbic_2390800	1996-05-15	5
wbic_2390800	1987-05-15	5
wbic_2390800	1976-05-15	3.02
wbic_2390800	1963-05-15	4.92
wbic_2418600	1992-05-15	1.58
wbic_2418600	1970-05-15	0.72
wbic_2420600	1950-05-15	0.75
wbic_2420600	1967-05-15	0.66
wbic_2420600	1977-05-15	0.66
wbic_2704200	1976-05-15	0.98
wbic_2395100	1964-05-15	5.91
wbic_2395600	1973-05-15	5.91
wbic_2395600	1950-05-15	3.94
wbic_2395600	1964-05-15	4.27
wbic_2393200	1964-05-15	3.6
wbic_2393200	1976-05-15	3.44
wbic_2393200	1994-05-15	2.95
wbic_2726100	1961-05-15	1.97
wbic_2435700	1976-05-15	2.95
wbic_2435700	1999-05-15	3.44
wbic_2435700	1999-05-15	3.15
wbic_2435700	1999-05-15	4.43
wbic_2417000	1992-05-15	2.1
wbic_2417000	1965-05-15	3.28
wbic_2435000	1964-05-15	3.61
wbic_2392000	1968-05-15	4.59
wbic_2392000	1991-05-15	3.61
wbic_2392000	1999-05-15	4.27
wbic_2046500	1999-08-15	2.9
wbic_2046500	1964-05-15	2.62
wbic_2046600	1964-05-15	3.28
wbic_2381100	1980-05-15	1.64
wbic_2436500	1964-05-15	4.27
